sample-id	sample_type	sample	genotype	species	resistance	local_sep	SampleID
S49-16S-Rhizo	RH	GW9823 corv #1	GW9823	P. trichocarpa	trichocarpa - resistant	18.95166492	S49
S56-16S-Leaf-Endo	LE	BESC835 #11	BESC835	P. trichocarpa	trichocarpa - resistant	9.618791906	S56
S56-16S-Leafwash-Endo-Endo	LW	BESC835 #11	BESC835	P. trichocarpa	trichocarpa - resistant	4.832976269	S56
S56-16S-Root-endo-16S	RE	BESC835 #11	BESC835	P. trichocarpa	trichocarpa - resistant	15.06280685	S56
S56-16S-Rhizo	RH	BESC835 #11	BESC835	P. trichocarpa	trichocarpa - resistant	22.77803681	S56
S59-16S-Leaf-Endo	LE	BESC261 corv #4	BESC261	P. trichocarpa	trichocarpa - resistant	53.97279777	S59
S59-16S-Leafwash-Endo-Endo	LW	BESC261 corv #4	BESC261	P. trichocarpa	trichocarpa - resistant	6.289679789	S59
S59-16S-Root-endo-16S	RE	BESC261 corv #4	BESC261	P. trichocarpa	trichocarpa - resistant	1.725176354	S59
S59-16S-Rhizo	RH	BESC261 corv #4	BESC261	P. trichocarpa	trichocarpa - resistant	631.5175789	S59
S60-16S-Leaf-Endo	LE	BESC22 corv #4	BESC22	P. trichocarpa	trichocarpa - resistant	4.799595313	S60
S60-16S-Leaf-Endo-redo	LE	BESC22 corv #4	BESC22	P. trichocarpa	trichocarpa - resistant	4.799595313	S60
S60-16S-Leafwash-Endo-Endo	LW	BESC22 corv #4	BESC22	P. trichocarpa	trichocarpa - resistant	7.422916666	S60
S60-16S-Root-endo-16S	RE	BESC22 corv #4	BESC22	P. trichocarpa	trichocarpa - resistant	30.82474823	S60
S60-16S-Rhizo	RH	BESC22 corv #4	BESC22	P. trichocarpa	trichocarpa - resistant	201.0228171	S60
S63-16S-Leaf-Endo	LE	GW9823 #28	GW9823	P. trichocarpa	trichocarpa - resistant	9.31498932	S63
S63-16S-Leafwash-Endo-Endo	LW	GW9823 #28	GW9823	P. trichocarpa	trichocarpa - resistant	3.684953039	S63
S63-16S-Root-endo-16S	RE	GW9823 #28	GW9823	P. trichocarpa	trichocarpa - resistant	1.643105043	S63
S63-16S-Rhizo	RH	GW9823 #28	GW9823	P. trichocarpa	trichocarpa - resistant	22.10137965	S63
S70-16S-Leaf-Endo	LE	BESC835 #30	BESC835	P. trichocarpa	trichocarpa - resistant	2.760806661	S70
S70-16S-Leaf-Endo-redo	LE	BESC835 #30	BESC835	P. trichocarpa	trichocarpa - resistant	2.760806661	S70
S70-16S-Leafwash-Endo-Endo	LW	BESC835 #30	BESC835	P. trichocarpa	trichocarpa - resistant	1.432199122	S70
S70-16S-Root-endo-16S	RE	BESC835 #30	BESC835	P. trichocarpa	trichocarpa - resistant	5.416337609	S70
S70-16S-Rhizo	RH	BESC835 #30	BESC835	P. trichocarpa	trichocarpa - resistant	2521.01674	S70
S72-16S-Leaf-Endo	LE	BESC261 corv # 13	BESC261	P. trichocarpa	trichocarpa - resistant	5.991376866	S72
S72-16S-Leaf-Endo-redo	LE	BESC261 corv # 13	BESC261	P. trichocarpa	trichocarpa - resistant	5.991376866	S72
S72-16S-Leafwash-Endo-Endo	LW	BESC261 corv # 13	BESC261	P. trichocarpa	trichocarpa - resistant	3.022949258	S72
S72-16S-Root-endo-16S	RE	BESC261 corv # 13	BESC261	P. trichocarpa	trichocarpa - resistant	7.574450314	S72
S72-16S-Rhizo	RH	BESC261 corv # 13	BESC261	P. trichocarpa	trichocarpa - resistant	11.04331794	S72
S73-16S-Leaf-Endo	LE	BESC22 corv #12	BESC22	P. trichocarpa	trichocarpa - resistant	48.55045811	S73
S73-16S-Leaf-Endo-redo	LE	BESC22 corv #12	BESC22	P. trichocarpa	trichocarpa - resistant	48.55045811	S73
S73-16S-Leafwash-Endo-Endo	LW	BESC22 corv #12	BESC22	P. trichocarpa	trichocarpa - resistant	2.292811393	S73
S73-16S-Root-endo-16S	RE	BESC22 corv #12	BESC22	P. trichocarpa	trichocarpa - resistant	5.789584157	S73
S73-16S-Root-endo-run2	RE	BESC22 corv #12	BESC22	P. trichocarpa	trichocarpa - resistant	5.789584157	S73
S73-16S-Rhizo	RH	BESC22 corv #12	BESC22	P. trichocarpa	trichocarpa - resistant	139.4195677	S73
S74-16S-Leaf-Endo	LE	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant	5.239998349	S74
S74-16S-Leaf-Endo-redo	LE	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant	5.239998349	S74
S74-16S-Leaf-wash-redo	LW	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant		S74
S74-16S-Leafwash-Endo-Endo	LW	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant		S74
S74-16S-Root-endo-16S	RE	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant	6.225018158	S74
S74-16S-Rhizo	RH	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant	36.19141047	S74
S75-16S-Leaf-Endo-redo	LE	BESC835 corv #2	BESC835	P. trichocarpa	trichocarpa - resistant	11.61018873	S75
S75-16S-Leafwash-Endo-Endo	LW	BESC835 corv #14	BESC835	P. trichocarpa	trichocarpa - resistant		S75
S75-16S-Root-endo-16S	RE	BESC835 corv #14	BESC835	P. trichocarpa	trichocarpa - resistant	3.742396083	S75
S75-16S-Rhizo	RH	BESC835 corv #14	BESC835	P. trichocarpa	trichocarpa - resistant	290.7476001	S75
S06-16S-Leaf-wash-redo	LW	BESC71 #9	BESC71	P. trichocarpa	trichocarpa - susceptible	4.906092163	S6
S09-16S-Leaf-Endo-redo	LE	BESC103 corv #6	BESC103	P. trichocarpa	trichocarpa - susceptible	12.11273681	S9
S09-16S-Root-endo-run2	RE	BESC103 corv #6	BESC103	P. trichocarpa	trichocarpa - susceptible	0.641162695	S9
S11-16S-Leaf-Endo	LE	BESC801 #8	BESC801	P. trichocarpa	trichocarpa - susceptible	5.84296101	S11
S11-16S-Root-endo-16S	RE	BESC801 #8	BESC801	P. trichocarpa	trichocarpa - susceptible	14.81284444	S11
S11-16S-Rhizo	RH	BESC801 #8	BESC801	P. trichocarpa	trichocarpa - susceptible	349.7029293	S11
S12-16S-Leaf-Endo	LE	BESC148 corv #4	BESC148	P. trichocarpa	trichocarpa - susceptible	16.9360346	S12
S12-16S-Root-endo-16S	RE	BESC148 corv #4	BESC148	P. trichocarpa	trichocarpa - susceptible	3.004993447	S12
S12-16S-Rhizo	RH	BESC148 corv #4	BESC148	P. trichocarpa	trichocarpa - susceptible	212.6697837	S12
S18-16S-Leaf-Endo	LE	BESC801 #23	BESC801	P. trichocarpa	trichocarpa - susceptible	4.321765062	S18
