Target	Full_sample_name	SampleID	SampleType	sample_type	Copy_number_per_ul
Septoria	S44_rhizosphere	S44	rhizosphere	RH	77.33514008
Septoria	S45_rhizosphere	S45	rhizosphere	RH	193.9790415
Septoria	S46_rhizosphere	S46	rhizosphere	RH	184.7781493
Septoria	S47_rhizosphere	S47	rhizosphere	RH	29.09750428
Septoria	S48_rhizosphere	S48	rhizosphere	RH	28.11837795
Septoria	S49_rhizosphere	S49	rhizosphere	RH	18.95166492
Septoria	S5_rhizosphere	S5	rhizosphere	RH	26.77823335
Septoria	S50_rhizosphere	S50	rhizosphere	RH	132.3378604
Septoria	S51_rhizosphere	S51	rhizosphere	RH	1255.018296
Septoria	S52_rhizosphere	S52	rhizosphere	RH	607.2633801
Septoria	S53_rhizosphere	S53	rhizosphere	RH	190.076982
Septoria	S54_rhizosphere	S54	rhizosphere	RH	26.16544622
Septoria	S55_rhizosphere	S55	rhizosphere	RH	16.5593448
Septoria	S56_rhizosphere	S56	rhizosphere	RH	22.77803681
Septoria	S57_rhizosphere	S57	rhizosphere	RH	130.3535452
Septoria	S58_rhizosphere	S58	rhizosphere	RH	110.7224996
Septoria	S59_rhizosphere	S59	rhizosphere	RH	631.5175789
Septoria	S6_rhizosphere	S6	rhizosphere	RH	6.078145662
Septoria	S60_rhizosphere	S60	rhizosphere	RH	201.0228171
Septoria	S61_rhizosphere	S61	rhizosphere	RH	351.545531
Septoria	S62_rhizosphere	S62	rhizosphere	RH	273.2734687
Septoria	S63_rhizosphere	S63	rhizosphere	RH	22.10137965
Septoria	S64_rhizosphere	S64	rhizosphere	RH	46.86017608
Septoria	S65_rhizosphere	S65	rhizosphere	RH	153.8003176
Septoria	S66_rhizosphere	S66	rhizosphere	RH	493.6828887
Septoria	S67_rhizosphere	S67	rhizosphere	RH	1061.607834
Septoria	S68_rhizosphere	S68	rhizosphere	RH	827.5580012
Septoria	S69_rhizosphere	S69	rhizosphere	RH	1930.956426
Septoria	S7_rhizosphere	S7	rhizosphere	RH	6.119711715
Septoria	S70_rhizosphere	S70	rhizosphere	RH	2521.01674
Septoria	S71_rhizosphere	S71	rhizosphere	RH	25.09702321
Septoria	S72_rhizosphere	S72	rhizosphere	RH	11.04331794
Septoria	S73_rhizosphere	S73	rhizosphere	RH	139.4195677
Septoria	S74_rhizosphere	S74	rhizosphere	RH	36.19141047
Septoria	S75_rhizosphere	S75	rhizosphere	RH	290.7476001
Septoria	S76_rhizosphere	S76	rhizosphere	RH	311.1391896
Septoria	S8_rhizosphere	S8	rhizosphere	RH	168.4698453
Septoria	S9_rhizosphere	S9	rhizosphere	RH	18.4433423
Septoria	S1_root_endosphere	S1	root_endosphere	RE	10.24832909
Septoria	S10_root_endosphere	S10	root_endosphere	RE	5.117187725
Septoria	S11_root_endosphere	S11	root_endosphere	RE	14.81284444
Septoria	S12_root_endosphere	S12	root_endosphere	RE	3.004993447
Septoria	S13_root_endosphere	S13	root_endosphere	RE	63.52854476
Septoria	S14_root_endosphere	S14	root_endosphere	RE	15.38220123
Septoria	S15_root_endosphere	S15	root_endosphere	RE	3.327697563
Septoria	S16_root_endosphere	S16	root_endosphere	RE	21.5187914
Septoria	S17_root_endosphere	S17	root_endosphere	RE	1.772668181
Septoria	S18_root_endosphere	S18	root_endosphere	RE	6.321730905
Septoria	S19_root_endosphere	S19	root_endosphere	RE	8.195487192
Septoria	S2_root_endosphere	S2	root_endosphere	RE	1.357747232
Septoria	S20_root_endosphere	S20	root_endosphere	RE	5.403469343
Septoria	S21_root_endosphere	S21	root_endosphere	RE	0.875906555
Septoria	S22_root_endosphere	S22	root_endosphere	RE	32.39885668
Septoria	S23_root_endosphere	S23	root_endosphere	RE	7.217839796
Septoria	S24_root_endosphere	S24	root_endosphere	RE	0.583208082
Septoria	S25_root_endosphere	S25	root_endosphere	RE	0.821510087
Septoria	S26_root_endosphere	S26	root_endosphere	RE	254.9769811
Septoria	S27_root_endosphere	S27	root_endosphere	RE	8.756175315
Septoria	S28_root_endosphere	S28	root_endosphere	RE	3.854371414
Septoria	S3_root_endosphere	S3	root_endosphere	RE	11.15151567
Septoria	S30_root_endosphere	S30	root_endosphere	RE	1.251887493
Septoria	S31_root_endosphere	S31	root_endosphere	RE	0.504228399
Septoria	S33_root_endosphere	S33	root_endosphere	RE	1.719918985
Septoria	S34_root_endosphere	S34	root_endosphere	RE	4.805359442
Septoria	S35_root_endosphere	S35	root_endosphere	RE	0.417160944
Septoria	S36_root_endosphere	S36	root_endosphere	RE	2.761777848
Septoria	S37_root_endosphere	S37	root_endosphere	RE	2.251397661
Septoria	S38_root_endosphere	S38	root_endosphere	RE	13.77722283
Septoria	S39_root_endosphere	S39	root_endosphere	RE	4.824246293
Septoria	S4_root_endosphere	S4	root_endosphere	RE	0.329743941
Septoria	S40_root_endosphere	S40	root_endosphere	RE	30.79289945
Septoria	S41_root_endosphere	S41	root_endosphere	RE	28.26388923
Septoria	S42_root_endosphere	S42	root_endosphere	RE	0.183878764
Septoria	S43_root_endosphere	S43	root_endosphere	RE	0.31275066
Septoria	S44_root_endosphere	S44	root_endosphere	RE	2.312505046
Septoria	S45_root_endosphere	S45	root_endosphere	RE	1.283638594
Septoria	S46_root_endosphere	S46	root_endosphere	RE	1.82408484
Septoria	S47_root_endosphere	S47	root_endosphere	RE	2.308771532
Septoria	S48_root_endosphere	S48	root_endosphere	RE	13.48515194
Septoria	S49_root_endosphere	S49	root_endosphere	RE	38.78851497
Septoria	S5_root_endosphere	S5	root_endosphere	RE	6.54056467
Septoria	S50_root_endosphere	S50	root_endosphere	RE	0.74454255
Septoria	S51_root_endosphere	S51	root_endosphere	RE	0.457957677
Septoria	S52_root_endosphere	S52	root_endosphere	RE	0.420181647
Septoria	S53_root_endosphere	S53	root_endosphere	RE	1.476303304
Septoria	S54_root_endosphere	S54	root_endosphere	RE	3.597335878
Septoria	S55_root_endosphere	S55	root_endosphere	RE	2.637791409
Septoria	S56_root_endosphere	S56	root_endosphere	RE	15.06280685
Septoria	S57_root_endosphere	S57	root_endosphere	RE	3.75190003
Septoria	S58_root_endosphere	S58	root_endosphere	RE	5.977344068
Septoria	S59_root_endosphere	S59	root_endosphere	RE	1.725176354
Septoria	S6_root_endosphere	S6	root_endosphere	RE	3.305247637
Septoria	S60_root_endosphere	S60	root_endosphere	RE	30.82474823
Septoria	S61_root_endosphere	S61	root_endosphere	RE	4.857430217
Septoria	S62_root_endosphere	S62	root_endosphere	RE	2.247526636
Septoria	S63_root_endosphere	S63	root_endosphere	RE	1.643105043
Septoria	S64_root_endosphere	S64	root_endosphere	RE	13.56623864
Septoria	S65_root_endosphere	S65	root_endosphere	RE	2.153375154
Septoria	S66_root_endosphere	S66	root_endosphere	RE	10.69260092
Septoria	S67_root_endosphere	S67	root_endosphere	RE	25.1872647
Septoria	S68_root_endosphere	S68	root_endosphere	RE	2.255570775
Septoria	S69_root_endosphere	S69	root_endosphere	RE	2.396313546
Septoria	S7_root_endosphere	S7	root_endosphere	RE	0.474116149
Septoria	S70_root_endosphere	S70	root_endosphere	RE	5.416337609
Septoria	S71_root_endosphere	S71	root_endosphere	RE	3.028620614
Septoria	S72_root_endosphere	S72	root_endosphere	RE	7.574450314
Septoria	S73_root_endosphere	S73	root_endosphere	RE	5.789584157
Septoria	S74_root_endosphere	S74	root_endosphere	RE	6.225018158
Septoria	S75_root_endosphere	S75	root_endosphere	RE	3.742396083
Septoria	S76_root_endosphere	S76	root_endosphere	RE	97.38256256
Septoria	S8_root_endosphere	S8	root_endosphere	RE	6.624699259
Septoria	S9_root_endosphere	S9	root_endosphere	RE	0.641162695
